Product_ID,Product_Name,Category,Brand,Cost_Price,Selling_Price
1,Salted Caramel Crunchy Chips,Snacks,Brand_5,21.85,33.84
2,Double Chocolate Chunk Cookies,Snacks,Brand_7,47.78,51.58
3,Organic Full-Cream Milk,Dairy,Brand_11,37.94,46.14
4,Premium Colombian Ground Coffee,Beverages,Brand_4,31.94,41.23
5,Sparkling Citrus Energy Drink,Beverages,Brand_3,12.02,13.67
6,Fresh Squeezed Orange Juice,Beverages,Brand_13,12.02,21.53
7,Sea Salt Butter Popcorn,Snacks,Brand_4,7.61,11
8,Roasted Honey Almonds,Snacks,Brand_12,43.98,45.89
9,Herbal Aloe Vera Shampoo,Personal Care,Brand_12,32.05,46.33
10,Hydrating Shea Butter Body Lotion,Personal Care,Brand_20,36.86,51.38
11,Spicy BBQ Pretzels,Snacks,Brand_9,5.93,18.25
12,Crunchy Peanut Mix,Snacks,Brand_2,48.65,53.91
13,Organic Matcha Green Tea,Beverages,Brand_15,42.46,44.83
14,Classic Lemon Iced Tea,Beverages,Brand_18,14.56,25.14
15,Cheddar Cheese Crackers,Snacks,Brand_4,13.18,20.34
16,Refreshing Mint Lemonade,Beverages,Brand_13,13.25,15.96
17,Moisturizing Coconut Body Wash,Personal Care,Brand_3,18.69,26.62
18,Chilled Sparkling Apple Cider,Beverages,Brand_18,28.61,30.09
19,Vitamin-Enriched Face Cream,Personal Care,Brand_10,24.44,38.17
20,Organic Greek Yogurt,Dairy,Brand_20,18.11,22.73
21,Seaweed Rice Crackers,Snacks,Brand_12,32.53,42.81
22,Classic Black Tea Bags,Beverages,Brand_19,11.28,16.64
23,Anti-Frizz Hair Serum,Personal Care,Brand_7,18.15,26.43
24,Probiotic Greek Yogurt,Dairy,Brand_3,21.49,30.14
25,Creamy Farmhouse Butter,Dairy,Brand_2,25.52,29.11
